date,A3TV,ABE,ABG.P,ABG.P_1,ABG,ACE,ACR,ACS,ACX,ACX_1,ACX_2,AENA,AGR,AGS,AGS_1,AGS_2,AGS_3,ALB,ALB_1,ALB_2,ALB_3,ALM,ALT,AMP,AMS,AMS_1,ANA,ANA_1,ANA_2,ANE,ARA,ARG,ASL,AUM,AZC,AZC_1,BBV,BBVA,BCH,BKIA,BKIA_1,BKT,BME,BTO,BTO_1,CABK,CAN,CAR,CEN,CEP,CEP_1,CIE,CIN,CLNX,COL,COL_1,CRF,CRI,CRI_1,CRI_2,CTE,CTF,CTG,CUB,DIA,DRC,EBA,EBRO,EBRO_1,ECR,ELE,ELE_1,ENC,ENC_1,ENG,EVA,EXT,FAD,FCC,FDR,FEC,FER,FOC,GAM,GAM_1,GAS,GES,GES_1,GPP,GRF,HHU,HHU_1,HID,HIS,IAG,IBE,IBLA,IBR,IDR,ITX,JAZ,LOG,LOR,MAP,MAP_1,MAP_2,MAS,MEL,MRL,MTS,MVC,MVC_1,NHH,NHH_1,NHH_2,NTGY,OHLA,PHM,PMD,POP,PRS,PRS_1,PRY,PUL,RAD,RED,REE,REE_1,REP,ROVI,SAB,SAN,SAN_1,SAR,SCH,SCYR,SCYR_1,SEV,SGC,SGRE,SLR,SOL,SYV,SYV_1,TAB,TEF,TEM,TL5,TPI,TPZ,TRE,TRR,TRR_1,TUB,UNF,UNI,URA,URB,VAL,VAL_1,VDR,VIS,VIS_1,VIS_2,VIS_3,ZEL,ZOT
1993-08-04,,,,,,,,,,1.1586,,,,,,,,,,3.2088,,,,,,,,,,,,,,,,,,,,,,0.1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7985,,,,,,,,,,,,,,,,,0.4023,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,2.7197,,,0.7395,,,,,,,,,,,,,,0.9354,,,,,,,,,,,,,,,,2.8762,,,,,0.4122
1993-08-05,,,,,,,,,,1.1539,,,,,,,,,,3.1645,,,,,,,,,,,,,,,,,,,,,,0.1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7604,,,,,,,,,,,,,,,,,0.3985,,,,,,,,0.3905,,,,,,,,,,,,,,,,,,,,,,,,,2.7586,,,0.7418,,,,,,,,,,,,,,0.9386,,,,,,,,,,,,,,,,2.8093,,,,,0.4097
1993-08-06,,,,,,,,,,1.1539,,,,,,,,,,3.2329,,,,,,,,,,,,,,,,,,,,,,0.1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7702,,,,,,,,,,,,,,,,,0.3957,,,,,,,,0.3881,,,,,,,,,,,,,,,,,,,,,,,,,2.7817,,,0.7404,,,,,,,,,,,,,,0.9452,,,,,,,,,,,,,,,,2.8928,,,,,0.4109
1993-08-09,,,,,,,,,,1.0929,,,,,,,,,,3.257,,,,,,,,,,,,,,,,,,,,,,0.1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7667,,,,,,,,,,,,,,,,,0.3954,,,,,,,,0.3881,,,,,,,,,,,,,,,,,,,,,,,,,2.7857,,,0.7404,,,,,,,,,,,,,,0.9386,,,,,,,,,,,,,,,,2.8846,,,,,0.4108
1993-08-10,,,,,,,,,,1.0929,,,,,,,,,,3.2773,,,,,,,,,,,,,,,,,,,,,,0.1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8142,,,,,,,,,,,,,,,,,0.4,,,,,,,,0.3881,,,,,,,,,,,,,,,,,,,,,,,,,2.805,,,0.7438,,,,,,,,,,,,,,0.9386,,,,,,,,,,,,,,,,2.8678,,,,,0.4129
1993-08-11,,,,,,,,,,1.1355,,,,,,,,,,3.274,,,,,,,,,,,,,,,,,,,,,,0.1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.877,,,,,,,,,,,,,,,,,0.4,,,,,,,,0.3972,,,,,,,,,,,,,,,,,,,,,,,,,2.805,,,0.7418,,,,,,,,,,,,,,0.9354,,,,,,,,,,,,,,,,2.8846,,,,,0.4204
1993-08-12,,,,,,,,,,1.1817,,,,,,,,,,3.3555,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8927,,,,,,,,,,,,,,,,,0.4014,,,,,,,,0.4083,,,,,,,,,,,,,,,,,,,,,,,,,2.8127,,,0.7511,,,,,,,,,,,,,,0.9485,,,,,,,,,,,,,,,,2.9517,,,,,0.4146
1993-08-13,,,,,,,,,,1.2025,,,,,,,,,,3.458,,,,,,,,,,,,,,,,,,,,,,0.1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2554,,,,,,,,,,,,,,,,,0.4052,,,,,,,,0.4106,,,,,,,,,,,,,,,,,,,,,,,,,2.8205,,,0.7511,,,,,,,,,,,,,,0.9452,,,,,,,,,,,,,,,,2.9602,,,,,0.4204
1993-08-16,,,,,,,,,,1.2025,,,,,,,,,,3.4515,,,,,,,,,,,,,,,,,,,,,,0.1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9781,,,,,,,,,,,,,,,,,0.4062,,,,,,,,0.4083,,,,,,,,,,,,,,,,,,,,,,,,,2.8165,,,0.7511,,,,,,,,,,,,,,0.9452,,,,,,,,,,,,,,,,2.9683,,,,,0.4146
1993-08-17,,,,,,,,,,1.2035,,,,,,,,,,3.5332,,,,,,,,,,,,,,,,,,,,,,0.1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5355,,,,,,,,,,,,,,,,,0.4095,,,,,,,,0.4068,,,,,,,,,,,,,,,,,,,,,,,,,2.8438,,,0.7553,,,,,,,,,,,,,,0.9879,,,,,,,,,,,,,,,,3.044,,,,,0.4307
