date,IAG,JAZ,IBR,TPZ,CUB,IBE,BKT,AUM,EBR,PHM,AEN,BTO,TRE,TEF,SCH,EXT,NHH,ALB,ROV,HHU,RAD,GPP,OHL,CEP,AMP,LOR,POP,ALM,ECR,EBA,GAS,HIS,MVC,REE,A3T,URB,AMS,SEV,VAL,SCY,GAM,EVA,TRR,CAB,RED,FDR,ACS,TAB,UNI,GRF,IBL,FER,PUL,REP,MEL,ELE,SAB,CRF,ANE,BBV,ACX,ANA,ACE,MAS,ARG,ALT,DRC,NTG,CLN,SYV,MAP,CAN,SAR,BCH,TEM,IDR,CTE,PRS,FOC,AZC,SOL,CEN,HID,SGR,ENC,SAN,UNF,SGC,PRY,CAR,LOG,PMD,MRL,FAD,TL5,VIS,CRI,ARA,BKI,BME,ITX,COL,CIN,ASL,ZEL,TUB,MTS,ZOT,DIA,ABE,AGR,VDR,GES,TPI,CIE,FCC,ENG,CTF,AGS,ABG,URA,SLR,CTG,ACR,FEC
1993-08-04,,,,,,0.4023,0.1402,,,,,,,0.9354,,,,3.2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7197,,,,,,,1.1586,,,,,,,,,,0.4,,,,,,,,,,,,,,,0.7395,,,,,,,,,,2.8762,,,,,,,,,,,,0.4122,,,,,,,,3.7985,,,,,,,,,
1993-08-05,,,,,,0.3985,0.1392,,,,,,,0.9386,,,,3.1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7586,,,,,,,1.1539,,,,,,,,,,0.3905,,,,,,,,,,,,,,,0.7418,,,,,,,,,,2.8093,,,,,,,,,,,,0.4097,,,,,,,,3.7604,,,,,,,,,
1993-08-06,,,,,,0.3957,0.1388,,,,,,,0.9452,,,,3.2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7817,,,,,,,1.1539,,,,,,,,,,0.3881,,,,,,,,,,,,,,,0.7404,,,,,,,,,,2.8928,,,,,,,,,,,,0.4109,,,,,,,,3.7702,,,,,,,,,
1993-08-09,,,,,,0.3954,0.1377,,,,,,,0.9386,,,,3.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7857,,,,,,,1.0929,,,,,,,,,,0.3881,,,,,,,,,,,,,,,0.7404,,,,,,,,,,2.8846,,,,,,,,,,,,0.4108,,,,,,,,3.7667,,,,,,,,,
1993-08-10,,,,,,0.4,0.1388,,,,,,,0.9386,,,,3.2773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.805,,,,,,,1.0929,,,,,,,,,,0.3881,,,,,,,,,,,,,,,0.7438,,,,,,,,,,2.8678,,,,,,,,,,,,0.4129,,,,,,,,3.8142,,,,,,,,,
1993-08-11,,,,,,0.4,0.1396,,,,,,,0.9354,,,,3.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.805,,,,,,,1.1355,,,,,,,,,,0.3972,,,,,,,,,,,,,,,0.7418,,,,,,,,,,2.8846,,,,,,,,,,,,0.4204,,,,,,,,3.877,,,,,,,,,
1993-08-12,,,,,,0.4014,0.143,,,,,,,0.9485,,,,3.3555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8127,,,,,,,1.1817,,,,,,,,,,0.4083,,,,,,,,,,,,,,,0.7511,,,,,,,,,,2.9517,,,,,,,,,,,,0.4146,,,,,,,,3.8927,,,,,,,,,
1993-08-13,,,,,,0.4052,0.1497,,,,,,,0.9452,,,,3.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8205,,,,,,,1.2025,,,,,,,,,,0.4106,,,,,,,,,,,,,,,0.7511,,,,,,,,,,2.9602,,,,,,,,,,,,0.4204,,,,,,,,4.2554,,,,,,,,,
1993-08-16,,,,,,0.4062,0.1487,,,,,,,0.9452,,,,3.4515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8165,,,,,,,1.2025,,,,,,,,,,0.4083,,,,,,,,,,,,,,,0.7511,,,,,,,,,,2.9683,,,,,,,,,,,,0.4146,,,,,,,,3.9781,,,,,,,,,
1993-08-17,,,,,,0.4095,0.1487,,,,,,,0.9879,,,,3.5332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8438,,,,,,,1.2035,,,,,,,,,,0.4068,,,,,,,,,,,,,,,0.7553,,,,,,,,,,3.044,,,,,,,,,,,,0.4307,,,,,,,,4.5355,,,,,,,,,
