"Date","Price","Open","High","Low","Vol.","Change %"
"07/21/2023","4.405","4.250","4.430","4.245","","1.61%"
"07/20/2023","4.335","4.380","4.465","4.270","","-0.80%"
"07/19/2023","4.370","4.440","4.450","4.370","27.99K","0.46%"
"07/18/2023","4.350","4.360","4.440","4.350","10.52K","-1.81%"
"07/17/2023","4.430","4.410","4.470","4.350","10.41K","0.57%"
"07/14/2023","4.405","4.420","4.470","4.390","12.63K","-1.78%"
"07/13/2023","4.485","4.340","4.485","4.300","27.79K","1.70%"
"07/12/2023","4.410","4.460","4.460","4.270","6.54K","1.15%"
"07/11/2023","4.360","4.275","4.415","4.275","6.70K","-0.46%"
"07/10/2023","4.380","4.320","4.420","4.255","13.61K","2.70%"
"07/07/2023","4.265","4.340","4.340","4.265","3.14K","-1.16%"
"07/06/2023","4.315","4.430","4.435","4.315","24.37K","-2.60%"
"07/05/2023","4.430","4.475","4.485","4.430","6.57K","-0.56%"
"07/04/2023","4.455","4.455","4.485","4.410","9.29K","-0.22%"
"07/03/2023","4.465","4.410","4.495","4.405","24.07K","1.36%"
"06/30/2023","4.405","4.510","4.510","4.385","16.24K","-0.45%"
"06/29/2023","4.425","4.520","4.520","4.425","19.78K","-2.32%"
"06/28/2023","4.530","4.530","4.600","4.530","19.27K","0.11%"
"06/27/2023","4.525","4.665","4.835","4.525","32.81K","-3.00%"
"06/26/2023","4.665","4.480","4.700","4.470","144.80K","4.48%"
"06/23/2023","4.465","4.460","4.490","4.440","19.83K","-0.56%"
"06/22/2023","4.490","4.440","4.490","4.430","27.01K","0.34%"
"06/21/2023","4.475","4.500","4.500","4.430","28.32K","1.70%"
"06/20/2023","4.400","4.365","4.415","4.350","38.07K","1.03%"
"06/19/2023","4.355","4.355","4.420","4.355","24.60K","-1.58%"
"06/16/2023","4.425","4.475","4.485","4.425","41.13K","-1.01%"
"06/15/2023","4.470","4.360","4.480","4.360","33.03K","0.79%"
"06/14/2023","4.435","4.395","4.480","4.395","22.22K","-0.56%"
"06/13/2023","4.460","4.350","4.475","4.350","29.77K","-0.22%"
"06/12/2023","4.470","4.240","4.485","4.180","164.68K","2.76%"
"06/09/2023","4.350","4.500","4.500","4.350","78.35K","-3.44%"
"06/08/2023","4.505","4.500","4.505","4.500","318.02K","0.11%"
"06/07/2023","4.500","4.500","4.505","4.500","88.15K","-0.22%"
"06/06/2023","4.510","4.500","4.520","4.490","79.28K","0.22%"
"06/05/2023","4.500","4.500","4.510","4.495","268.01K","0.00%"
"06/02/2023","4.500","4.500","4.505","4.500","99.21K","0.00%"
"06/01/2023","4.500","4.500","4.505","4.500","362.66K","0.00%"
"05/31/2023","4.500","4.500","4.510","4.500","133.88K","0.00%"
"05/30/2023","4.500","4.500","4.510","4.500","198.41K","0.00%"
"05/29/2023","4.500","4.505","4.510","4.500","199.61K","0.00%"
"05/26/2023","4.500","4.505","4.525","4.500","136.31K","0.00%"
"05/25/2023","4.500","4.500","4.510","4.500","123.99K","0.00%"
"05/24/2023","4.500","4.460","4.530","4.460","289.82K","-0.11%"
"05/23/2023","4.505","4.500","4.520","4.485","281.54K","0.11%"
"05/22/2023","4.500","4.505","4.515","4.500","261.52K","0.00%"
"05/19/2023","4.500","4.510","4.540","4.500","801.40K","-0.22%"
"05/18/2023","4.510","4.410","4.580","4.410","3.74M","2.97%"
"05/17/2023","4.380","4.340","4.390","4.300","226.35K","1.51%"
"05/16/2023","4.315","4.195","4.360","4.145","571.43K","3.35%"
"05/15/2023","4.175","4.180","4.180","4.130","31.92K","-0.12%"
"05/12/2023","4.180","4.195","4.200","4.140","270.09K","0.72%"
"05/11/2023","4.150","4.050","4.210","4.045","193.07K","1.72%"
"05/10/2023","4.080","4.500","4.500","4.070","600.77K","12.55%"
"05/09/2023","3.625","3.625","3.625","3.625","","0.00%"
"05/08/2023","3.625","3.630","3.630","3.600","14.21K","0.97%"
"05/05/2023","3.590","3.590","3.625","3.560","30.81K","1.56%"
"05/04/2023","3.535","3.505","3.540","3.490","242.54K","-0.70%"
"05/03/2023","3.560","3.590","3.590","3.540","62.38K","-0.84%"
"05/02/2023","3.590","3.595","3.630","3.585","51.72K","1.41%"
"04/28/2023","3.540","3.515","3.565","3.510","128.50K","-0.42%"
"04/27/2023","3.555","3.550","3.570","3.530","30.49K","-0.28%"
"04/26/2023","3.565","3.565","3.600","3.550","67.78K","-1.93%"
"04/25/2023","3.635","3.735","3.735","3.630","11.27K","-2.28%"
"04/24/2023","3.720","3.650","3.720","3.600","22.62K","0.81%"
"04/21/2023","3.690","3.675","3.750","3.660","15.51K","-2.12%"
"04/20/2023","3.770","3.760","3.780","3.735","6.95K","0.27%"
"04/19/2023","3.760","3.750","3.775","3.725","4.84K","0.00%"
"04/18/2023","3.760","3.830","3.845","3.755","16.04K","-2.21%"
"04/17/2023","3.845","3.795","3.845","3.790","70.00K","2.67%"
"04/14/2023","3.745","3.800","3.800","3.730","13.87K","0.54%"
"04/13/2023","3.725","3.690","3.760","3.655","38.76K","0.95%"
"04/12/2023","3.690","3.740","3.790","3.690","13.44K","-1.99%"
"04/11/2023","3.765","3.720","3.820","3.720","11.06K","0.13%"
"04/06/2023","3.760","3.835","3.845","3.760","29.42K","-1.57%"
"04/05/2023","3.820","3.810","3.870","3.745","76.46K","-1.29%"
"04/04/2023","3.870","3.700","3.870","3.700","72.05K","4.17%"
"04/03/2023","3.715","3.650","3.760","3.600","53.70K","3.77%"
"03/31/2023","3.580","3.620","3.625","3.510","62.54K","1.42%"
"03/30/2023","3.530","3.540","3.605","3.530","56.56K","0.00%"
"03/29/2023","3.530","3.560","3.575","3.525","18.70K","-0.56%"
"03/28/2023","3.550","3.640","3.640","3.540","24.45K","0.42%"
"03/27/2023","3.535","3.590","3.645","3.535","15.33K","0.57%"
"03/24/2023","3.515","3.640","3.640","3.515","12.44K","-1.40%"
"03/23/2023","3.565","3.620","3.680","3.550","16.04K","-3.13%"
"03/22/2023","3.680","3.660","3.715","3.650","17.39K","-0.94%"
"03/21/2023","3.715","3.625","3.720","3.600","34.95K","3.77%"
"03/20/2023","3.580","3.620","3.620","3.510","27.92K","-0.14%"
"03/17/2023","3.585","3.645","3.645","3.525","18.47K","-0.97%"
"03/16/2023","3.620","3.640","3.640","3.540","27.92K","3.13%"
"03/15/2023","3.510","3.815","3.815","3.510","69.80K","-4.10%"
"03/14/2023","3.660","3.570","3.690","3.570","51.29K","1.39%"
"03/13/2023","3.610","3.865","3.865","3.540","64.79K","-1.77%"
"03/10/2023","3.675","3.710","3.755","3.630","55.19K","-4.55%"
"03/09/2023","3.850","3.700","3.850","3.655","42.79K","3.63%"
"03/08/2023","3.715","3.780","3.780","3.715","20.16K","0.54%"
"03/07/2023","3.695","3.875","3.875","3.695","48.84K","-2.89%"
"03/06/2023","3.805","3.885","3.905","3.795","47.60K","-0.39%"
"03/03/2023","3.820","3.705","3.925","3.705","62.18K","1.19%"
"03/02/2023","3.775","3.775","3.810","3.775","2.63K","0.94%"
"03/01/2023","3.740","3.745","3.830","3.740","23.75K","-2.22%"
"02/28/2023","3.825","3.800","3.835","3.790","25.76K","0.13%"
"02/27/2023","3.820","3.840","3.840","3.795","24.56K","1.87%"
"02/24/2023","3.750","3.840","3.855","3.730","37.29K","-1.96%"
"02/23/2023","3.825","3.795","3.825","3.725","65.73K","3.38%"
"02/22/2023","3.700","3.750","3.750","3.680","16.38K","-0.13%"
"02/21/2023","3.705","3.775","3.775","3.635","20.62K","-0.13%"
"02/20/2023","3.710","3.605","3.710","3.605","46.44K","1.37%"
"02/17/2023","3.660","3.770","3.770","3.630","21.31K","-1.35%"
"02/16/2023","3.710","3.725","3.800","3.675","86.97K","2.06%"
"02/15/2023","3.635","3.630","3.690","3.630","5.80K","0.00%"
"02/14/2023","3.635","3.675","3.745","3.630","25.32K","-1.49%"
"02/13/2023","3.690","3.665","3.710","3.665","3.92K","1.93%"
"02/10/2023","3.620","3.750","3.815","3.620","36.12K","-5.97%"
"02/09/2023","3.850","3.735","3.850","3.735","47.45K","1.45%"
"02/08/2023","3.795","3.780","3.885","3.770","41.18K","-0.91%"
"02/07/2023","3.830","3.590","3.830","3.585","58.52K","6.98%"
"02/06/2023","3.580","3.680","3.695","3.575","37.75K","-0.69%"
"02/03/2023","3.605","3.720","3.720","3.555","52.26K","-0.96%"
"02/02/2023","3.640","3.640","3.730","3.580","137.42K","-1.09%"
"02/01/2023","3.680","3.750","3.755","3.655","78.32K","-2.77%"
"01/31/2023","3.785","3.820","3.820","3.785","21.20K","-1.05%"
"01/30/2023","3.825","3.885","3.905","3.825","31.53K","-0.52%"
"01/27/2023","3.845","3.840","3.900","3.830","32.85K","0.52%"
"01/26/2023","3.825","3.715","3.860","3.715","89.41K","2.96%"
"01/25/2023","3.715","3.750","3.780","3.685","59.49K","0.00%"
"01/24/2023","3.715","3.665","3.750","3.660","82.19K","3.48%"
"01/23/2023","3.590","3.445","3.750","3.420","152.57K","5.74%"
"01/20/2023","3.395","3.360","3.450","3.360","36.73K","-0.15%"
"01/19/2023","3.400","3.480","3.500","3.360","69.73K","-2.16%"
"01/18/2023","3.475","3.390","3.475","3.240","147.58K","7.42%"
"01/17/2023","3.235","3.205","3.285","3.205","28.01K","-0.31%"
"01/16/2023","3.245","3.350","3.350","3.220","26.49K","-1.96%"
"01/13/2023","3.310","3.390","3.400","3.210","56.94K","-0.30%"
"01/12/2023","3.320","3.190","3.350","3.180","66.31K","1.22%"
"01/11/2023","3.280","3.075","3.280","3.075","62.36K","4.79%"
"01/10/2023","3.130","3.145","3.160","3.080","22.28K","-0.16%"
"01/09/2023","3.135","3.080","3.135","3.065","42.83K","1.79%"
"01/06/2023","3.080","3.030","3.080","3.030","12.32K","1.65%"
"01/05/2023","3.030","2.960","3.070","2.960","26.72K","1.17%"
"01/04/2023","2.995","3.000","3.025","2.980","19.30K","-0.17%"
"01/03/2023","3.000","3.000","3.035","2.980","29.16K","1.01%"
"01/02/2023","2.970","3.025","3.025","2.960","37.70K","0.00%"
"12/30/2022","2.970","2.975","3.000","2.930","69.96K","-1.00%"
"12/29/2022","3.000","3.005","3.025","2.990","27.57K","-0.50%"
"12/28/2022","3.015","3.055","3.070","3.015","22.08K","-1.79%"
"12/27/2022","3.070","3.065","3.185","3.055","26.02K","-1.92%"
"12/23/2022","3.130","3.090","3.210","3.085","33.16K","2.29%"
"12/22/2022","3.060","3.110","3.140","3.060","18.93K","-2.55%"
"12/21/2022","3.140","3.160","3.190","3.140","13.84K","-1.41%"
"12/20/2022","3.185","3.190","3.190","3.160","7.05K","0.16%"
"12/19/2022","3.180","3.185","3.205","3.160","12.29K","1.60%"
"12/16/2022","3.130","3.120","3.160","3.110","15.17K","-1.73%"
"12/15/2022","3.185","3.110","3.195","3.110","9.56K","0.47%"
"12/14/2022","3.170","3.135","3.190","3.125","6.83K","1.44%"
"12/13/2022","3.125","3.120","3.215","3.120","48.92K","0.16%"
"12/12/2022","3.120","3.125","3.140","3.110","19.76K","-0.79%"
"12/09/2022","3.145","3.200","3.200","3.125","10.50K","-1.41%"
"12/08/2022","3.190","3.240","3.240","3.150","3.64K","0.47%"
"12/07/2022","3.175","3.220","3.220","3.170","3.18K","0.00%"
"12/06/2022","3.175","3.110","3.250","3.110","14.73K","1.60%"
"12/05/2022","3.125","3.160","3.160","3.105","539.51K","0.16%"
"12/02/2022","3.120","3.070","3.120","3.050","16.18K","0.32%"
"12/01/2022","3.110","3.065","3.120","3.020","13.54K","2.13%"
"11/30/2022","3.045","3.035","3.075","3.035","21.87K","2.18%"
"11/29/2022","2.980","2.940","3.060","2.940","29.57K","1.02%"
"11/28/2022","2.950","2.950","2.990","2.950","34.16K","0.85%"
"11/25/2022","2.925","2.925","2.990","2.925","14.42K","-1.85%"
"11/24/2022","2.980","2.915","2.985","2.915","27.65K","1.88%"
"11/23/2022","2.925","2.950","2.980","2.925","28.51K","-1.18%"
"11/22/2022","2.960","2.920","3.035","2.920","94.52K","0.17%"
"11/21/2022","2.955","2.970","2.975","2.910","45.79K","-0.17%"
"11/18/2022","2.960","2.925","2.960","2.925","1.76M","-0.17%"
"11/17/2022","2.965","2.960","2.965","2.940","7.73K","0.00%"
"11/16/2022","2.965","2.980","2.980","2.945","19.35K","-0.17%"
"11/15/2022","2.970","2.940","2.970","2.940","4.01K","1.19%"
"11/14/2022","2.935","2.995","2.995","2.925","18.57K","0.51%"
"11/11/2022","2.920","2.930","2.990","2.915","58.48K","0.00%"
"11/10/2022","2.920","2.930","2.995","2.900","20.46K","-2.67%"
"11/09/2022","3.000","2.910","3.000","2.790","63.95K","7.33%"
"11/08/2022","2.795","2.845","2.930","2.785","76.32K","0.90%"
"11/07/2022","2.770","2.730","2.800","2.710","30.36K","1.47%"
"11/04/2022","2.730","2.715","2.740","2.650","28.74K","0.55%"
"11/03/2022","2.715","2.705","2.715","2.700","2.36K","-0.73%"
"11/02/2022","2.735","2.720","2.770","2.720","23.33K","0.74%"
"11/01/2022","2.715","2.700","2.725","2.700","5.49K","0.56%"
"10/31/2022","2.700","2.680","2.715","2.595","39.94K","2.27%"
"10/28/2022","2.640","2.640","2.675","2.565","45.71K","1.93%"
"10/27/2022","2.590","2.555","2.610","2.555","401.73K","-0.19%"
"10/26/2022","2.595","2.560","2.615","2.550","5.20K","1.37%"
"10/25/2022","2.560","2.530","2.600","2.530","4.84K","0.20%"
"10/24/2022","2.555","2.640","2.665","2.550","26.55K","-0.97%"
"10/21/2022","2.580","2.530","2.590","2.460","12.59K","4.67%"
"10/20/2022","2.465","2.420","2.555","2.420","25.21K","-1.99%"
"10/19/2022","2.515","2.595","2.645","2.515","36.78K","-2.52%"
"10/18/2022","2.580","2.480","2.600","2.455","41.60K","3.82%"
"10/17/2022","2.485","2.400","2.485","2.400","29.37K","5.07%"
"10/14/2022","2.365","2.445","2.445","2.365","245.72K","-1.46%"
"10/13/2022","2.400","2.400","2.420","2.365","63.19K","1.91%"
"10/12/2022","2.355","2.340","2.360","2.320","19.23K","1.51%"
"10/11/2022","2.320","2.455","2.455","2.300","23.20K","-3.33%"
"10/10/2022","2.400","2.310","2.415","2.310","37.95K","1.48%"
"10/07/2022","2.365","2.280","2.365","2.275","27.04K","4.19%"
"10/06/2022","2.270","2.270","2.320","2.270","41.79K","-0.87%"
"10/05/2022","2.290","2.400","2.400","2.290","56.86K","-4.78%"
"10/04/2022","2.405","2.470","2.475","2.405","38.97K","0.00%"
"10/03/2022","2.405","2.420","2.430","2.375","13.84K","-0.21%"
"09/30/2022","2.410","2.435","2.505","2.360","97.46K","-3.21%"
