"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2014","4.025","4.070","4.115","4.005","725.44K","-1.11%"
"09/19/2014","4.070","4.190","4.290","4.050","1.07M","-1.93%"
"09/18/2014","4.150","4.050","4.170","4.015","1.51M","2.98%"
"09/17/2014","4.030","3.890","4.055","3.885","1.95M","4.40%"
"09/16/2014","3.860","3.840","3.885","3.790","990.89K","0.78%"
"09/15/2014","3.830","3.885","3.910","3.800","1.04M","-1.54%"
"09/12/2014","3.890","3.900","3.960","3.850","981.42K","0.52%"
"09/11/2014","3.870","3.945","4.000","3.830","1.16M","-2.03%"
"09/10/2014","3.950","3.945","3.995","3.915","696.51K","-0.25%"
"09/09/2014","3.960","4.010","4.030","3.960","732.43K","-1.37%"
"09/08/2014","4.015","4.070","4.125","4.005","846.35K","-1.35%"
"09/05/2014","4.070","4.015","4.120","4.015","632.52K","1.62%"
"09/04/2014","4.005","3.950","4.020","3.860","1.22M","1.39%"
"09/03/2014","3.950","3.965","4.020","3.940","457.99K","0.25%"
"09/02/2014","3.940","3.950","4.020","3.940","403.81K","0.00%"
"09/01/2014","3.940","4.040","4.070","3.900","1.58M","-3.55%"
"08/29/2014","4.085","4.035","4.120","4.025","541.57K","0.62%"
"08/28/2014","4.060","4.185","4.190","4.035","536.65K","-2.87%"
"08/27/2014","4.180","4.115","4.210","4.090","908.98K","1.33%"
"08/26/2014","4.125","4.110","4.130","4.080","413.18K","0.49%"
"08/25/2014","4.105","4.100","4.115","4.050","498.04K","1.11%"
"08/22/2014","4.060","4.115","4.115","4.030","626.02K","-1.34%"
"08/21/2014","4.115","4.030","4.115","3.970","522.90K","3.13%"
"08/20/2014","3.990","3.990","4.015","3.940","824.46K","0.50%"
"08/19/2014","3.970","3.860","4.020","3.860","411.58K","2.85%"
"08/18/2014","3.860","3.900","3.920","3.855","863.00K","-0.26%"
"08/15/2014","3.870","3.880","3.905","3.850","260.82K","0.13%"
"08/14/2014","3.865","3.930","3.950","3.840","651.17K","-1.90%"
"08/13/2014","3.940","3.955","3.975","3.905","730.18K","0.25%"
"08/12/2014","3.930","3.825","3.980","3.825","951.72K","3.01%"
"08/11/2014","3.815","3.720","3.855","3.720","330.95K","3.39%"
"08/08/2014","3.690","3.750","3.860","3.680","1.15M","-2.12%"
"08/07/2014","3.770","3.785","3.865","3.750","1.25M","0.27%"
"08/06/2014","3.760","3.795","3.800","3.750","1.11M","-1.31%"
"08/05/2014","3.810","4.030","4.065","3.810","1.05M","-5.46%"
"08/04/2014","4.030","3.910","4.070","3.705","888.74K","3.47%"
"08/01/2014","3.895","4.045","4.070","3.890","719.84K","-3.95%"
"07/31/2014","4.055","4.170","4.180","3.995","681.11K","-1.93%"
"07/30/2014","4.135","4.120","4.195","4.025","2.30M","3.89%"
"07/29/2014","3.980","3.965","4.015","3.940","937.59K","0.63%"
"07/28/2014","3.955","3.960","3.990","3.895","745.82K","0.13%"
"07/25/2014","3.950","3.875","4.010","3.875","768.57K","1.80%"
"07/24/2014","3.880","3.860","3.960","3.835","1.72M","0.52%"
"07/23/2014","3.860","3.915","3.955","3.860","1.29M","-1.53%"
"07/22/2014","3.920","3.975","4.035","3.920","940.85K","-0.63%"
"07/21/2014","3.945","4.010","4.030","3.930","598.78K","-1.74%"
"07/18/2014","4.015","4.010","4.050","3.950","674.48K","-0.50%"
"07/17/2014","4.035","4.095","4.105","4.010","743.72K","-1.47%"
"07/16/2014","4.095","3.980","4.140","3.920","1.57M","2.89%"
"07/15/2014","3.980","4.025","4.040","3.940","476.21K","-0.62%"
"07/14/2014","4.005","4.020","4.070","4.005","842.58K","-0.37%"
"07/11/2014","4.020","4.040","4.120","4.000","597.10K","0.12%"
"07/10/2014","4.015","4.190","4.190","3.995","1.56M","-3.95%"
"07/09/2014","4.180","4.220","4.265","4.180","1.04M","-0.83%"
"07/08/2014","4.215","4.285","4.300","4.180","772.23K","-1.98%"
"07/07/2014","4.300","4.395","4.400","4.290","644.74K","-2.05%"
"07/04/2014","4.390","4.360","4.420","4.330","633.74K","0.69%"
"07/03/2014","4.360","4.395","4.410","4.325","440.81K","-0.80%"
"07/02/2014","4.395","4.410","4.410","4.330","731.77K","-0.34%"
"07/01/2014","4.410","4.350","4.470","4.300","1.68M","1.97%"
"06/30/2014","4.325","4.330","4.405","4.290","701.65K","0.12%"
"06/27/2014","4.320","4.380","4.410","4.290","1.00M","-1.14%"
"06/26/2014","4.370","4.420","4.480","4.350","1.74M","-0.79%"
"06/25/2014","4.405","4.410","4.435","4.350","536.25K","-0.34%"
"06/24/2014","4.420","4.470","4.490","4.410","873.31K","-1.12%"
"06/23/2014","4.470","4.505","4.540","4.465","358.23K","-0.67%"
"06/20/2014","4.500","4.520","4.545","4.465","410.67K","0.22%"
"06/19/2014","4.490","4.510","4.555","4.490","453.15K","0.22%"
"06/18/2014","4.480","4.500","4.540","4.465","303.19K","0.00%"
"06/17/2014","4.480","4.575","4.595","4.460","341.69K","-1.21%"
"06/16/2014","4.535","4.615","4.630","4.515","251.16K","-1.84%"
"06/13/2014","4.620","4.630","4.660","4.540","598.61K","-0.65%"
"06/12/2014","4.650","4.635","4.675","4.600","615.23K","1.53%"
"06/11/2014","4.580","4.700","4.700","4.580","483.71K","-1.93%"
"06/10/2014","4.670","4.665","4.750","4.640","829.14K","0.43%"
"06/09/2014","4.650","4.590","4.690","4.590","2.17M","1.97%"
"06/06/2014","4.560","4.485","4.580","4.480","783.78K","1.90%"
"06/05/2014","4.475","4.480","4.510","4.450","598.55K","0.11%"
"06/04/2014","4.470","4.450","4.470","4.390","415.56K","0.45%"
"06/03/2014","4.450","4.490","4.490","4.400","531.94K","0.00%"
"06/02/2014","4.450","4.485","4.515","4.430","446.38K","0.11%"
"05/30/2014","4.445","4.400","4.480","4.390","513.87K","0.45%"
"05/29/2014","4.425","4.380","4.460","4.365","346.92K","1.03%"
"05/28/2014","4.380","4.390","4.480","4.350","610.62K","-0.23%"
"05/27/2014","4.390","4.550","4.675","4.370","1.52M","-2.77%"
"05/26/2014","4.515","4.455","4.540","4.455","462.23K","2.38%"
"05/23/2014","4.410","4.280","4.435","4.280","853.47K","2.92%"
"05/22/2014","4.285","4.230","4.300","4.200","753.61K","1.42%"
"05/21/2014","4.225","4.290","4.320","4.225","672.21K","-2.42%"
"05/20/2014","4.330","4.310","4.405","4.290","849.49K","0.23%"
"05/19/2014","4.320","4.295","4.345","4.235","726.03K","0.00%"
"05/16/2014","4.320","4.470","4.470","4.260","1.20M","-2.81%"
"05/15/2014","4.445","4.580","4.625","4.440","1.07M","-3.37%"
"05/14/2014","4.600","4.670","4.670","4.590","326.00K","-0.86%"
"05/13/2014","4.640","4.595","4.650","4.565","481.84K","0.98%"
