"Date","Price","Open","High","Low","Change %"
"08/25/2023","3.560","3.536","3.560","3.491","1.89%"
"08/24/2023","3.494","3.551","3.580","3.475","0.03%"
"08/23/2023","3.493","3.574","3.582","3.492","-0.34%"
"08/22/2023","3.505","3.537","3.614","3.502","-1.85%"
"08/21/2023","3.571","3.537","3.583","3.502","1.91%"
"08/18/2023","3.504","3.601","3.608","3.503","-2.88%"
"08/17/2023","3.608","3.587","3.652","3.542","0.06%"
"08/16/2023","3.606","3.638","3.647","3.562","-1.64%"
"08/15/2023","3.666","3.659","3.670","3.627","-0.03%"
"08/14/2023","3.667","3.663","3.667","3.612","0.08%"
"08/11/2023","3.664","3.614","3.668","3.611","-0.03%"
"08/10/2023","3.665","3.669","3.669","3.593","-0.08%"
"08/09/2023","3.668","3.630","3.668","3.613","0.05%"
"08/08/2023","3.666","3.611","3.672","3.609","0.08%"
"08/07/2023","3.663","3.625","3.667","3.613","-0.11%"
"08/04/2023","3.667","3.623","3.674","3.614","0.05%"
"08/03/2023","3.665","3.623","3.669","3.622","0.08%"
"08/02/2023","3.662","3.630","3.668","3.619","-0.11%"
"08/01/2023","3.666","3.672","3.672","3.616","-0.03%"
"07/31/2023","3.667","3.664","3.687","3.613","0.27%"
"07/28/2023","3.657","3.606","3.659","3.597","-0.03%"
"07/27/2023","3.658","3.625","3.658","3.599","0.08%"
"07/26/2023","3.655","3.611","3.655","3.584","0.30%"
"07/25/2023","3.644","3.602","3.649","3.579","0.05%"
"07/24/2023","3.642","3.588","3.650","3.575","-0.65%"
"07/21/2023","3.666","3.616","3.675","3.577","0.05%"
"07/20/2023","3.664","3.599","3.684","3.572","0.71%"
"07/19/2023","3.638","3.650","3.655","3.560","-0.36%"
"07/18/2023","3.651","3.658","3.682","3.580","-0.30%"
"07/17/2023","3.662","3.659","3.664","3.629","0.55%"
"07/14/2023","3.642","3.624","3.674","3.624","-0.41%"
"07/13/2023","3.657","3.647","3.668","3.628","4.58%"
"07/12/2023","3.497","3.504","3.571","3.490","-0.09%"
"07/11/2023","3.500","3.491","3.567","3.489","0.46%"
"07/10/2023","3.484","3.486","3.554","3.481","-1.78%"
"07/07/2023","3.547","3.480","3.547","3.479","0.34%"
"07/06/2023","3.535","3.559","3.562","3.464","-0.17%"
"07/05/2023","3.541","3.449","3.549","3.440","1.37%"
"07/04/2023","3.493","3.388","3.529","3.387","2.19%"
"07/03/2023","3.418","3.417","3.462","3.387","0.56%"
"06/30/2023","3.399","3.401","3.461","3.382","0.32%"
"06/29/2023","3.388","3.355","3.429","3.348","-0.65%"
"06/28/2023","3.410","3.392","3.421","3.340","-0.15%"
"06/27/2023","3.415","3.397","3.420","3.347","-0.06%"
"06/26/2023","3.417","3.355","3.437","3.341","-0.76%"
"06/23/2023","3.443","3.636","3.636","3.351","1.47%"
"06/22/2023","3.393","3.372","3.462","3.336","-0.64%"
"06/21/2023","3.415","3.337","3.418","3.329","0.77%"
"06/20/2023","3.389","3.315","3.394","3.314","0.00%"
"06/19/2023","3.389","3.352","3.448","3.321","-0.32%"
"06/16/2023","3.400","3.393","3.402","3.313","0.35%"
"06/15/2023","3.388","3.307","3.395","3.302","1.26%"
"06/14/2023","3.346","3.320","3.346","3.252","0.66%"
"06/13/2023","3.324","3.246","3.324","3.239","-0.03%"
"06/12/2023","3.325","3.334","3.334","3.257","-0.75%"
"06/09/2023","3.350","3.319","3.350","3.250","1.58%"
"06/08/2023","3.298","3.200","3.350","3.200","-0.69%"
"06/07/2023","3.321","3.204","3.321","3.187","2.18%"
"06/06/2023","3.250","3.205","3.290","3.120","3.83%"
"06/05/2023","3.130","3.097","3.199","3.097","1.03%"
"06/02/2023","3.098","3.112","3.212","3.083","-1.71%"
"06/01/2023","3.152","3.112","3.182","3.089","0.35%"
"05/31/2023","3.141","3.098","3.179","3.098","0.06%"
"05/30/2023","3.139","3.196","3.206","3.098","-1.10%"
"05/29/2023","3.174","3.061","3.181","3.061","-0.31%"
"05/26/2023","3.184","3.114","3.203","3.085","0.13%"
"05/25/2023","3.180","3.142","3.185","3.083","0.73%"
"05/24/2023","3.157","3.064","3.157","3.064","0.13%"
"05/23/2023","3.153","3.080","3.169","3.079","-0.06%"
"05/22/2023","3.155","3.135","3.165","3.085","2.24%"
"05/19/2023","3.086","3.120","3.149","3.084","-0.13%"
