"Date","Price","Open","High","Low","Vol.","Change %"
"07/21/2023","2.950","3.015","3.065","2.920","","-1.99%"
"07/20/2023","3.010","3.055","3.100","2.995","","-1.15%"
"07/19/2023","3.045","3.020","3.050","2.985","","1.50%"
"07/18/2023","3.000","2.970","3.015","2.960","","1.01%"
"07/17/2023","2.970","2.925","2.975","2.925","","0.68%"
"07/14/2023","2.950","2.890","2.970","2.890","","0.68%"
"07/13/2023","2.930","2.900","2.940","2.880","","2.09%"
"07/12/2023","2.870","2.850","2.900","2.835","","-0.17%"
"07/11/2023","2.875","2.805","2.890","2.805","","1.95%"
"07/10/2023","2.820","2.810","2.870","2.795","","-1.23%"
"07/07/2023","2.855","2.745","2.855","2.745","","1.96%"
"07/06/2023","2.800","2.735","2.850","2.735","","0.72%"
"07/05/2023","2.780","2.680","2.780","2.680","","2.96%"
"07/04/2023","2.700","2.745","2.745","2.680","","-1.82%"
"07/03/2023","2.750","2.700","2.755","2.630","","1.29%"
"06/30/2023","2.715","2.765","2.765","2.705","","-0.37%"
"06/29/2023","2.725","2.635","2.730","2.625","","2.64%"
"06/28/2023","2.655","2.690","2.690","2.635","","-0.75%"
"06/27/2023","2.675","2.770","2.770","2.635","","-2.90%"
"06/26/2023","2.755","2.720","2.755","2.690","","2.04%"
"06/23/2023","2.700","2.765","2.765","2.700","","-2.88%"
"06/22/2023","2.780","2.750","2.780","2.725","","1.09%"
"06/21/2023","2.750","2.810","2.810","2.740","","-1.96%"
"06/20/2023","2.805","2.840","2.845","2.805","","-1.75%"
"06/19/2023","2.855","2.795","2.890","2.780","","0.53%"
"06/16/2023","2.840","2.830","2.860","2.805","","0.53%"
"06/15/2023","2.825","2.880","2.880","2.795","","-0.70%"
"06/14/2023","2.845","2.755","2.880","2.755","","2.34%"
"06/13/2023","2.780","2.790","2.800","2.725","","0.00%"
"06/12/2023","2.780","2.800","2.800","2.735","","0.18%"
"06/09/2023","2.775","2.670","2.790","2.655","","5.51%"
"06/08/2023","2.630","2.675","2.675","2.605","","-1.13%"
"06/07/2023","2.660","2.615","2.690","2.615","","1.33%"
"06/06/2023","2.625","2.645","2.645","2.565","","-0.57%"
"06/05/2023","2.640","2.530","2.645","2.515","","5.39%"
"06/02/2023","2.505","2.480","2.520","2.475","","-1.38%"
"06/01/2023","2.540","2.515","2.560","2.505","","1.60%"
"05/31/2023","2.500","2.515","2.540","2.500","","-0.40%"
"05/30/2023","2.510","2.520","2.540","2.480","","-0.40%"
"05/29/2023","2.520","2.600","2.600","2.500","","-1.37%"
"05/26/2023","2.555","2.585","2.585","2.520","","0.79%"
"05/25/2023","2.535","2.540","2.570","2.515","","1.40%"
"05/24/2023","2.500","2.485","2.540","2.465","","-1.38%"
"05/23/2023","2.535","2.510","2.540","2.480","","0.20%"
"05/22/2023","2.530","2.560","2.575","2.520","","-1.56%"
"05/19/2023","2.570","2.595","2.600","2.560","","-0.19%"
"05/18/2023","2.575","2.650","2.650","2.565","","-1.53%"
"05/17/2023","2.615","2.525","2.620","2.520","","2.35%"
"05/16/2023","2.555","2.590","2.595","2.555","","-1.35%"
"05/15/2023","2.590","2.560","2.620","2.560","","0.58%"
"05/12/2023","2.575","2.500","2.600","2.475","","3.41%"
"05/11/2023","2.490","2.570","2.570","2.455","","-2.35%"
"05/10/2023","2.550","2.440","2.590","2.440","","3.45%"
"05/09/2023","2.465","2.470","2.485","2.440","","-0.20%"
"05/08/2023","2.470","2.495","2.510","2.440","","0.20%"
"05/05/2023","2.465","2.410","2.480","2.395","","3.57%"
"05/04/2023","2.380","2.445","2.445","2.350","","-0.63%"
"05/03/2023","2.395","2.420","2.460","2.365","","-1.44%"
"05/02/2023","2.430","2.470","2.490","2.425","","-1.42%"
"04/28/2023","2.465","2.515","2.520","2.440","","-1.60%"
"04/27/2023","2.505","2.585","2.585","2.505","","-1.96%"
"04/26/2023","2.555","2.585","2.605","2.520","","-1.35%"
"04/25/2023","2.590","2.715","2.715","2.560","","-4.07%"
"04/24/2023","2.700","2.615","2.730","2.510","","2.08%"
"04/21/2023","2.645","2.675","2.690","2.625","","-0.19%"
"04/20/2023","2.650","2.510","2.660","2.495","","5.37%"
"04/19/2023","2.515","2.555","2.555","2.510","","-0.59%"
