"Date","Price","Open","High","Low","Change %"
"07/25/2023","5.436","5.432","5.439","5.426","0.34%"
"07/24/2023","5.418","5.453","5.486","5.418","-0.11%"
"07/21/2023","5.424","5.445","5.469","5.411","0.15%"
"07/20/2023","5.416","5.448","5.503","5.409","0.07%"
"07/19/2023","5.412","5.452","5.452","5.409","0.00%"
"07/18/2023","5.412","5.457","5.457","5.407","0.17%"
"07/17/2023","5.403","5.392","5.457","5.392","-0.15%"
"07/14/2023","5.411","5.427","5.456","5.390","0.30%"
"07/13/2023","5.395","5.454","5.476","5.388","-0.07%"
"07/12/2023","5.399","5.417","5.451","5.388","-0.24%"
"07/11/2023","5.412","5.450","5.450","5.407","0.41%"
"07/10/2023","5.390","5.401","5.432","5.365","0.04%"
"07/07/2023","5.388","5.425","5.443","5.358","0.15%"
"07/06/2023","5.380","5.389","5.467","5.352","0.37%"
"07/05/2023","5.360","5.400","5.400","5.345","-0.46%"
"07/04/2023","5.385","5.385","5.385","5.385","1.35%"
"07/03/2023","5.313","5.349","5.493","5.311","-0.19%"
"06/30/2023","5.323","5.380","5.469","5.304","-0.47%"
"06/29/2023","5.348","5.373","5.518","5.341","0.32%"
"06/28/2023","5.331","5.341","5.341","5.331","-0.19%"
"06/27/2023","5.341","5.340","5.376","5.337","0.41%"
"06/26/2023","5.319","5.344","5.413","5.309","0.28%"
"06/23/2023","5.304","5.328","5.586","5.291","0.00%"
"06/22/2023","5.304","5.339","5.456","5.291","0.08%"
"06/21/2023","5.300","5.320","5.344","5.263","1.28%"
"06/20/2023","5.233","5.275","5.350","5.230","-0.85%"
"06/19/2023","5.278","5.285","5.285","5.278","0.85%"
"06/16/2023","5.233","5.265","5.390","5.226","0.19%"
"06/15/2023","5.223","5.297","5.372","5.218","-0.57%"
"06/14/2023","5.253","5.263","5.307","5.247","-0.19%"
"06/13/2023","5.263","5.304","5.342","5.243","0.08%"
"06/12/2023","5.259","5.287","5.302","5.237","-0.11%"
"06/09/2023","5.265","5.282","5.316","5.243","0.00%"
"06/08/2023","5.265","5.360","5.389","5.248","-1.00%"
"06/07/2023","5.318","5.324","5.324","5.288","-0.30%"
"06/06/2023","5.334","5.373","5.413","5.309","0.23%"
"06/05/2023","5.322","5.396","5.523","5.312","-1.32%"
"06/02/2023","5.393","5.437","5.516","5.380","0.15%"
"06/01/2023","5.385","5.472","5.547","5.380","-0.59%"
"05/31/2023","5.417","5.452","5.480","5.394","2.00%"
"05/30/2023","5.311","5.353","5.465","5.283","-0.85%"
"05/29/2023","5.357","5.354","5.357","5.354","0.65%"
"05/26/2023","5.322","5.360","5.463","5.292","-0.93%"
"05/25/2023","5.372","5.397","5.506","5.321","0.37%"
"05/24/2023","5.352","5.309","5.392","5.306","0.45%"
"05/23/2023","5.328","5.414","5.414","5.315","0.95%"
"05/22/2023","5.278","5.310","5.409","5.258","0.38%"
"05/19/2023","5.258","5.303","5.412","5.243","-0.68%"
"05/18/2023","5.294","5.293","5.425","5.243","0.63%"
"05/17/2023","5.261","5.244","5.277","5.197","0.80%"
"05/16/2023","5.219","5.244","5.244","5.185","0.83%"
"05/15/2023","5.176","5.253","5.300","5.152","-0.77%"
"05/12/2023","5.216","5.230","5.274","5.168","0.62%"
"05/11/2023","5.184","5.259","5.381","5.167","-0.92%"
"05/10/2023","5.232","5.254","5.319","5.212","-0.93%"
"05/09/2023","5.281","5.284","5.325","5.234","0.51%"
"05/08/2023","5.254","5.255","5.302","5.224","-0.21%"
