"Date","Price","Open","High","Low","Change %"
"02/23/2011","0.122","0.122","0.122","0.122","8.93%"
"02/22/2011","0.112","0.112","0.112","0.112","16.67%"
"02/21/2011","0.096","0.096","0.096","0.096","0.00%"
"02/18/2011","0.096","0.096","0.096","0.096","0.00%"
"02/17/2011","0.096","0.096","0.096","0.096","-15.79%"
"02/16/2011","0.114","0.114","0.114","0.114","-11.63%"
"02/15/2011","0.129","0.129","0.129","0.129","10.26%"
"02/14/2011","0.117","0.117","0.117","0.117","-1.68%"
"02/11/2011","0.119","0.119","0.119","0.119","1.71%"
"02/10/2011","0.117","0.117","0.117","0.117","-14.60%"
"02/09/2011","0.137","0.137","0.137","0.137","-9.87%"
"02/08/2011","0.152","0.152","0.152","0.152","1.33%"
"02/07/2011","0.150","0.150","0.150","0.150","-1.32%"
"02/04/2011","0.152","0.152","0.152","0.152","0.00%"
"02/03/2011","0.152","0.152","0.152","0.152","-3.18%"
"02/02/2011","0.157","0.157","0.157","0.157","0.00%"
"02/01/2011","0.157","0.157","0.157","0.157","3.29%"
"01/31/2011","0.152","0.152","0.152","0.152","3.40%"
"01/28/2011","0.147","0.147","0.147","0.147","0.00%"
"01/27/2011","0.147","0.147","0.147","0.147","-9.26%"
"01/26/2011","0.162","0.162","0.162","0.162","3.18%"
"01/25/2011","0.157","0.157","0.157","0.157","0.00%"
"01/24/2011","0.157","0.157","0.157","0.157","0.00%"
"01/21/2011","0.157","0.157","0.157","0.157","-3.09%"
"01/20/2011","0.162","0.162","0.162","0.162","0.00%"
"01/19/2011","0.162","0.162","0.162","0.162","6.58%"
"01/18/2011","0.152","0.152","0.152","0.152","0.00%"
"01/17/2011","0.152","0.152","0.000","0.000","0.00%"
"01/14/2011","0.152","0.152","0.152","0.152","3.40%"
"01/13/2011","0.147","0.147","0.147","0.147","-2.00%"
"01/12/2011","0.150","0.150","0.150","0.150","-1.32%"
"01/11/2011","0.152","0.152","0.152","0.152","7.04%"
"01/10/2011","0.142","0.142","0.142","0.142","0.00%"
"01/07/2011","0.142","0.142","0.142","0.142","-3.40%"
"01/06/2011","0.147","0.147","0.147","0.147","3.52%"
"01/05/2011","0.142","0.142","0.142","0.142","0.00%"
"01/04/2011","0.142","0.142","0.142","0.142","14.52%"
"01/03/2011","0.124","0.124","0.124","0.124","-2.36%"
"12/31/2010","0.127","0.127","0.127","0.127","8.55%"
