date,A3TV,ABE,ABG.P_1,ABG,ACS,ACX_1,ACX_2,AENA,AGS,ALB_2,ALB_3,ALM,ALT,AMP,AMS_1,ANA_1,ANA_2,ANE,BBVA,BKIA,BKIA_1,BKT,BME,BTO_1,BTO_2,CABK,CIE,CIN,CLNX,COL,COL_1,CRI_2,DIA,DRC,EBRO,EBRO_1,ELE,ELE_1,ENC,ENC_1,ENG,FCC,FDR,FER,GAM,GAM_1,GRF,IAG,IBE,IBLA,IBR,IDR,ITX,JAZ,LOR,MAP,MAP_1,MAP_2,MAS,MEL,MRL,MTS,NHH,NHH_2,NTGY,OHLA,PHM,POP,PRS,PRS_1,PUL,RED,REE,REE_1,REP,ROVI,SAB,SAN,SAN_1,SCYR,SCYR_1,SCYR_2,SGC,SGRE,SLR,SOL,TEF,TEM,TL5,TRE,TUB,UNF,VIS,VIS_1,VIS_2,VIS_3,ZEL,benchmark
1993-08-16,,,,,,1.2025,,,,3.4515,,,,,,,,,0.7605,,,0.1487,,,,,,,,,,,,,,,,,,,,3.9781,,,,,,,0.4062,,,,,,,0.4083,,,,,,,,,,,,,,,,,,,2.8165,,,0.7511,,,,,,,,,0.9452,,,,,,2.9683,,,,,3113.896728515625
1993-08-17,,,,,,1.2035,,,,3.5332,,,,,,,,,0.7728,,,0.1487,,,,,,,,,,,,,,,,,,,,4.5355,,,,,,,0.4095,,,,,,,0.4068,,,,,,,,,,,,,,,,,,,2.8438,,,0.7553,,,,,,,,,0.9879,,,,,,3.044,,,,,3166.996826171875
1993-08-18,,,,,,1.201,,,,3.5467,,,,,,,,,0.7801,,,0.15,,,,,,,,,,,,,,,,,,,,4.4979,,,,,,,0.4249,,,,,,,0.4113,,,,,,,,,,,,,,,,,,,2.8827,,,0.7553,,,,,,,,,1.0239,,,,,,3.1276,,,,,3206.69677734375
1993-08-19,,,,,,1.1961,,,,3.5126,,,,,,,,,0.7811,,,0.1503,,,,,,,,,,,,,,,,,,,,4.4096,,,,,,,0.4324,,,,,,,0.4083,,,,,,,,,,,,,,,,,,,2.9136,,,0.7633,,,,,,,,,1.06,,,,,,3.0608,,,,,3231.19677734375
1993-08-20,,,,,,1.1877,,,,3.492,,,,,,,,,0.7825,,,0.1507,,,,,,,,,,,,,,,,,,,,4.3435,,,,,,,0.4387,,,,,,,0.4083,,,,,,,,,,,,,,,,,,,2.8983,,,0.77,,,,,,,,,1.0534,,,,,,3.044,,,,,3229.896728515625
1993-08-23,,,,,,1.1843,,,,3.3966,,,,,,,,,0.7801,,,0.1502,,,,,,,,,,,,,,,,,,,,4.3813,,,,,,,0.4324,,,,,,,0.4009,,,,,,,,,,,,,,,,,,,2.9136,,,0.7693,,,,,,,,,1.0502,,,,,,3.044,,,,,3219.796875
1993-08-24,,,,,,1.2025,,,,3.5126,,,,,,,,,0.7895,,,0.1521,,,,,,,,,,,,,,,,,,,,4.4318,,,,,,,0.4375,,,,,,,0.4,,,,,,,,,,,,,,,,,,,2.9331,,,0.7844,,,,,,,,,1.0502,,,,,,3.1364,,,,,3250.896728515625
1993-08-25,,,,,,1.201,,,,3.6149,,,,,,,,,0.7999,,,0.1543,,,,,,,,,,,,,,,,,,,,4.5454,,,,,,,0.4421,,,,,,,0.4044,,,,,,,,,,,,,,,,,,,3.0144,,,0.7891,,,,,,,,,1.0568,,,,,,3.1276,,,,,3300.696533203125
1993-08-26,,,,,,1.1843,,,,3.6491,,,,,,,,,0.8054,,,0.161,,,,,,,,,,,,,,,,,,,,4.5454,,,,,,,0.4397,,,,,,,0.3993,,,,,,,,,,,,,,,,,,,3.1268,,,0.8077,,,,,,,,,1.0636,,,,,,3.1024,,,,,3330.99658203125
1993-08-27,,,,,,1.1961,,,,3.5876,,,,,,,,,0.8194,,,0.1649,,,,,,,,,,,,,,,,,,,,4.5866,,,,,,,0.4434,,,,,,,0.4157,,,,,,,,,,,,,,,,,,,3.1309,,,0.8048,,,,,,,,,1.06,,,,,,3.0862,,,,,3363.396484375
1993-08-30,,,,,,1.2085,,,,3.6149,,,,,,,,,0.8172,,,0.1646,,,,,,,,,,,,,,,,,,,,4.7189,,,,,,,0.4414,,,,,,,0.4165,,,,,,,,,,,,,,,,,,,3.1194,,,0.7968,,,,,,,,,1.0764,,,,,,3.0525,,,,,3379.0966796875
1993-08-31,,,,,,1.2025,,,,3.6762,,,,,,,,,0.8107,,,0.166,,,,,,,,,,,,,,,,,,,,4.6649,,,,,,,0.4344,,,,,,,0.4456,,,,,,,,,,,,,,,,,,,3.0105,,,0.7844,,,,,,,,,1.0731,,,,,,2.9768,,,,,3360.196533203125
1993-09-01,,,,,,1.1961,,,,3.458,,,,,,,,,0.7964,,,0.1565,,,,,,,,,,,,,,,,,,,,4.4603,,,,,,,0.429,,,,,,,0.4565,,,,,,,,,,,,,,,,,,,2.9331,,,0.7579,,,,,,,,,1.0502,,,,,,2.9014,,,,,3264.396484375
