,date,ticker
0,2021-01-04,"['ITX' 'ACX_2' 'NTGY' 'SLR' 'MAP_2' 'CABK' 'AENA' 'SGRE' 'ANA_2' 'MRL'
 'MEL' 'ACS' 'BKT']"
1,2021-01-05,['SLR' 'AENA' 'MEL' 'ACS' 'ANA_2' 'ACX_2' 'SGRE' 'ITX' 'MAP_2' 'NTGY']
2,2021-01-06,"['ACS' 'SGRE' 'MAP_2' 'SLR' 'NTGY' 'AENA' 'ACX_2' 'AMS_1' 'MRL' 'ENG'
 'ANA_2' 'ITX' 'MEL' 'BKT' 'CABK']"
3,2021-01-07,"['ACS' 'ACX_2' 'ANA_2' 'MAP_2' 'MRL' 'SLR' 'MEL' 'ITX' 'CABK' 'BKT' 'AENA'
 'NTGY' 'PHM']"
4,2021-01-08,"['ANA_2' 'CABK' 'AENA' 'NTGY' 'ACX_2' 'MEL' 'ITX' 'ACS' 'MRL' 'MAP_2'
 'BKT' 'MTS' 'SLR']"
5,2021-01-11,"['SLR' 'ITX' 'MAP_2' 'CABK' 'BKT' 'AENA' 'MRL' 'ACX_2' 'MTS' 'ANA_2'
 'NTGY' 'MEL' 'PHM']"
6,2021-01-12,"['SLR' 'MEL' 'ELE_1' 'MAP_2' 'AENA' 'BKT' 'ITX' 'FER' 'NTGY' 'ANA_2'
 'ACX_2' 'MTS' 'CABK' 'MRL']"
7,2021-01-13,"['CABK' 'MTS' 'ACX_2' 'ANA_2' 'AENA' 'MAP_2' 'SLR' 'FER' 'NTGY' 'MRL'
 'MEL' 'ITX' 'AMS_1' 'BKT']"
8,2021-01-14,"['NTGY' 'AENA' 'ANA_2' 'BKT' 'MRL' 'CABK' 'MAP_2' 'ITX' 'ACX_2' 'MEL'
 'IDR' 'SLR' 'MTS' 'FER' 'AMS_1']"
9,2021-01-15,"['MEL' 'BKT' 'NTGY' 'MRL' 'ANA_2' 'AENA' 'CLNX' 'CIE' 'MTS' 'CABK' 'FER'
 'ITX' 'SLR' 'ACX_2' 'ENG' 'MAP_2']"
10,2021-01-18,"['MRL' 'ANA_2' 'NTGY' 'MAP_2' 'CIE' 'MTS' 'BKT' 'ACS' 'CLNX' 'PHM' 'CABK'
 'SLR' 'ACX_2' 'MEL' 'AENA' 'ITX' 'FER']"
11,2021-01-19,"['ACX_2' 'AENA' 'ACS' 'CLNX' 'MAP_2' 'ENG' 'MTS' 'PHM' 'CABK' 'FER' 'MEL'
 'CIE' 'BKT' 'NTGY' 'MRL' 'ITX' 'ANA_2' 'SLR']"
12,2021-01-20,"['AENA' 'ANA_2' 'ENG' 'MRL' 'SLR' 'BKT' 'CABK' 'MEL' 'MAP_2' 'ITX' 'FER'
 'CIE' 'CLNX' 'ACS' 'NTGY' 'ACX_2' 'PHM' 'MTS']"
13,2021-01-21,"['ITX' 'CABK' 'FER' 'NTGY' 'BKT' 'CIE' 'SLR' 'MAP_2' 'ELE_1' 'MEL' 'ENG'
 'AENA' 'PHM' 'CLNX' 'MTS' 'ACX_2' 'ANA_2' 'ACS' 'COL_1' 'MRL']"
14,2021-01-22,"['AENA' 'BKT' 'CIE' 'NTGY' 'ACS' 'MAP_2' 'SLR' 'MEL' 'MTS' 'COL_1' 'ITX'
 'FER' 'PHM' 'ANA_2' 'BKIA_1' 'MRL' 'ACX_2' 'ENG' 'ELE_1']"
15,2021-01-25,"['MEL' 'BKIA_1' 'MAP_2' 'PHM' 'AENA' 'ELE_1' 'FER' 'ACX_2' 'SLR' 'ANA_2'
 'CIE' 'ACS' 'NTGY' 'ENG' 'COL_1']"
16,2021-01-26,"['SLR' 'CLNX' 'BKT' 'AENA' 'COL_1' 'ACS' 'CABK' 'ELE_1' 'MRL' 'FER'
 'BKIA_1' 'MEL' 'NTGY' 'PHM' 'ACX_2' 'MAP_2' 'CIE' 'ITX' 'ANA_2']"
17,2021-01-27,"['MEL' 'COL_1' 'NTGY' 'PHM' 'FER' 'CLNX' 'ANA_2' 'AENA' 'MAP_2' 'CIE'
 'ACS' 'ITX' 'SGRE' 'ELE_1' 'ACX_2' 'MRL' 'BKIA_1']"
18,2021-01-28,"['ANA_2' 'BKT' 'CLNX' 'MAP_2' 'FER' 'NTGY' 'PHM' 'SGRE' 'BKIA_1' 'ELE_1'
 'AENA' 'ACX_2' 'MEL' 'ITX' 'CIE' 'COL_1' 'SLR' 'ACS' 'MRL']"
19,2021-01-29,"['ACS' 'PHM' 'SGRE' 'BKT' 'MAP_2' 'ELE_1' 'CLNX' 'FER' 'MEL' 'CABK' 'NTGY'
 'ACX_2' 'BKIA_1' 'COL_1' 'ITX' 'CIE' 'ANA_2' 'MRL']"
20,2021-02-01,"['CLNX' 'ACX_2' 'MAP_2' 'CIE' 'ACS' 'NTGY' 'GRF' 'COL_1' 'BKIA_1' 'SGRE'
 'MEL']"
21,2021-02-02,"['ITX' 'MRL' 'GRF' 'COL_1' 'MAP_2' 'ACX_2' 'ANA_2' 'MEL' 'SGRE' 'CIE'
 'CLNX' 'NTGY' 'ACS']"
22,2021-02-03,"['CLNX' 'GRF' 'BKT' 'COL_1' 'MAP_2' 'CABK' 'ACS' 'IAG' 'ELE_1' 'MRL'
 'AMS_1' 'ACX_2' 'FER' 'AENA' 'NTGY' 'SGRE' 'ITX' 'MEL']"
23,2021-02-04,"['CLNX' 'COL_1' 'ITX' 'NTGY' 'MAP_2' 'AENA' 'ACS' 'IAG' 'BKT' 'MEL' 'CABK'
 'ELE_1' 'GRF' 'SGRE' 'FER' 'MRL' 'ACX_2']"
24,2021-02-05,"['FER' 'CABK' 'ITX' 'COL_1' 'ELE_1' 'CLNX' 'AENA' 'MRL' 'SGRE' 'MEL'
 'ACX_2' 'ACS' 'MAP_2' 'GRF' 'NTGY' 'BKT']"
25,2021-02-08,"['SLR' 'GRF' 'AENA' 'CLNX' 'BKT' 'IAG' 'COL_1' 'CABK' 'ACX_2' 'MEL' 'SGRE'
 'ACS' 'MRL' 'MAP_2' 'ITX' 'FER' 'ELE_1' 'NTGY']"
26,2021-02-09,"['COL_1' 'CABK' 'MEL' 'ACS' 'ACX_2' 'SGRE' 'MAP_2' 'FER' 'MRL' 'GRF'
 'CLNX' 'ITX' 'BKT' 'ELE_1' 'AENA' 'NTGY']"
27,2021-02-10,"['CABK' 'ACS' 'GRF' 'ELE_1' 'NTGY' 'ITX' 'FER' 'MRL' 'COL_1' 'MEL' 'BKT'
 'MAP_2' 'CLNX' 'ACX_2']"
28,2021-02-11,"['COL_1' 'IDR' 'MRL' 'ACX_2' 'ITX' 'GRF' 'MEL' 'CLNX' 'SGRE' 'BKT' 'CABK'
 'ELE_1' 'ACS' 'MAP_2' 'NTGY']"
29,2021-02-12,"['CABK' 'ELE_1' 'ACS' 'MRL' 'SGRE' 'COL_1' 'MAP_2' 'ANA_2' 'CLNX' 'ACX_2'
 'BKT' 'GRF' 'ITX' 'NTGY']"
30,2021-02-15,"['ACX_2' 'MAP_2' 'CABK' 'MEL' 'BKT' 'AENA' 'COL_1' 'IAG' 'ELE_1' 'MRL'
 'ACS' 'GRF' 'SGRE' 'FER' 'CLNX' 'ITX' 'NTGY']"
31,2021-02-16,"['AENA' 'GRF' 'MRL' 'ACX_2' 'ELE_1' 'NTGY' 'IAG' 'FER' 'MEL' 'ACS' 'ITX'
 'MAP_2' 'BKT' 'COL_1' 'SGRE' 'CLNX' 'CABK']"
32,2021-02-17,"['IAG' 'NTGY' 'IDR' 'ELE_1' 'MEL' 'ACX_2' 'ACS' 'BKT' 'SGRE' 'GRF' 'COL_1'
 'CABK' 'MAP_2' 'ITX' 'MRL' 'CLNX' 'AENA']"
33,2021-02-18,"['GRF' 'IAG' 'MEL' 'IDR' 'BKT' 'NTGY' 'MRL' 'MAP_2' 'ITX' 'ELE_1' 'COL_1'
 'CABK' 'CLNX' 'ACX_2']"
34,2021-02-19,"['MEL' 'NTGY' 'CABK' 'IDR' 'COL_1' 'IAG' 'ACX_2' 'BKT' 'GRF' 'CLNX' 'MRL'
 'MAP_2' 'ELE_1' 'SGRE' 'ITX']"
35,2021-02-22,"['MRL' 'MAP_2' 'COL_1' 'IDR' 'ELE_1' 'CABK' 'ACX_2' 'IAG' 'CLNX' 'GRF'
 'AENA' 'NTGY' 'MEL' 'ITX']"
36,2021-02-23,"['IAG' 'MRL' 'CABK' 'MAP_2' 'IDR' 'BKT' 'ITX' 'AENA' 'COL_1' 'SGRE'
 'ACX_2' 'MEL' 'CLNX' 'GRF' 'ELE_1' 'NTGY' 'FER']"
37,2021-02-24,"['ITX' 'BKT' 'COL_1' 'MRL' 'AENA' 'CABK' 'ELE_1' 'FER' 'ACX_2' 'IAG'
 'AMS_1' 'IDR' 'GRF' 'NTGY' 'MAP_2' 'CLNX' 'MEL']"
38,2021-02-25,"['FER' 'IDR' 'MRL' 'ELE_1' 'AMS_1' 'COL_1' 'ACX_2' 'CABK' 'NTGY' 'MEL'
 'IAG' 'AENA' 'BKT' 'MAP_2' 'ITX' 'CLNX' 'GRF']"
39,2021-02-26,"['MAP_2' 'CABK' 'COL_1' 'ITX' 'ACX_2' 'SGRE' 'MEL' 'BKT' 'AENA' 'IDR'
 'MRL' 'GRF' 'IAG' 'NTGY' 'ELE_1']"
40,2021-03-01,"['REP' 'ELE_1' 'AMS_1' 'MRL' 'SGRE' 'ITX' 'CABK' 'AENA' 'BKT' 'IDR' 'MEL'
 'IAG' 'ACX_2' 'COL_1' 'GRF' 'NTGY']"
41,2021-03-02,"['SGRE' 'COL_1' 'IDR' 'CABK' 'ITX' 'PHM' 'MEL' 'AMS_1' 'ELE_1' 'IAG' 'BKT'
 'GRF' 'MRL' 'AENA' 'CLNX' 'ACX_2' 'NTGY']"
42,2021-03-03,"['IDR' 'ACS' 'MRL' 'BKT' 'CLNX' 'PHM' 'NTGY' 'ITX' 'ACX_2' 'IAG' 'ELE_1'
 'ANA_2' 'REP' 'COL_1' 'AMS_1' 'CABK' 'AENA' 'MEL' 'GRF']"
43,2021-03-04,"['COL_1' 'MRL' 'IDR' 'BKT' 'CABK' 'GRF' 'MEL' 'ACX_2' 'ANA_2' 'NTGY' 'PHM'
 'IAG' 'AMS_1' 'CLNX' 'ACS' 'AENA' 'ITX']"
44,2021-03-05,"['AENA' 'COL_1' 'MEL' 'ANA_2' 'CABK' 'GRF' 'IAG' 'IDR' 'ACS' 'MRL' 'ACX_2'
 'ITX' 'NTGY' 'CLNX' 'BKT' 'PHM']"
